,DK,NO,DE,BE,NL,GB
2015-10-27 06:00:00,13744.35099696894,29549.615879216075,286859.7995899306,42254.948177922925,50818.82647025566,81853.96900400025
2015-10-27 07:00:00,13412.397953246114,29471.261495420113,230770.32956939598,33074.3223003241,39838.0935610012,92873.38490010513
2015-10-27 08:00:00,14830.990018932305,28231.774235687848,246601.13920799547,33770.649839391255,47338.626419943495,114786.74834153226
2015-10-27 09:00:00,16919.36789760598,27597.81610028434,270975.93448151654,39745.455075510275,54252.81214567905,120107.33396116189
2015-10-27 10:00:00,21087.76821402849,26753.15758879405,293173.2238459863,37048.183343285484,58888.955610488316,108919.42425988275
2015-10-27 11:00:00,27874.21256343134,26167.56353891295,270304.1414315068,34382.08732914161,58306.87317542413,127429.52237483117
2015-10-27 12:00:00,22585.65186583617,26177.321692424506,254562.3592315272,30364.17641647887,51888.455185268846,103179.41574055175
2015-10-27 13:00:00,20895.143599919833,26151.210818413525,253947.22874815905,29217.685344857415,43841.09724905419,100465.2950792627
2015-10-27 14:00:00,17453.99364939671,26572.061819582967,221279.8311635548,11328.732819099725,33040.6099391232,98188.1818605345
2015-10-27 15:00:00,12255.036820673206,27895.648783692777,139922.74585201143,15762.865078085444,25374.18552171709,65853.99216867817
2015-10-27 16:00:00,13396.154935952589,28949.792585309966,213236.95353129928,26948.83381304259,39818.6304795464,71097.94247954583
2015-10-27 17:00:00,13758.365017487506,29066.97582312012,233061.16468091062,30264.136674130226,41282.26426460463,87693.93445575278
2015-10-27 18:00:00,15874.70796565077,29024.28478183105,236428.9554503897,30230.642242654918,41714.126089915764,88318.01238001474
2015-10-27 19:00:00,14655.48307312441,28875.811336422816,228402.3438098678,27940.496857719096,40923.011471631384,82935.7838120832
2015-10-27 20:00:00,14812.260649498086,28218.546306173102,229398.7142928009,27824.80962880607,41325.72660621542,80388.04206032753
2015-10-27 21:00:00,16577.086165141078,27359.584241615597,229433.95129407517,28344.770683774477,39607.10115100991,78101.50080861688
2015-10-27 22:00:00,19123.873462327618,26441.245723559325,224279.4153794637,28640.69226614564,37822.07882577026,74271.60886820738
2015-10-27 23:00:00,20947.361629854317,25930.432283012364,220842.93033666417,28336.26007009396,36246.269695139286,71077.17051663397
2015-10-28 00:00:00,16855.17446510583,25608.565734494056,226699.6638301335,27160.09630457023,35574.10930603633,72743.95062541009
2015-10-28 01:00:00,19861.57708836133,25471.04282061142,224922.53903050206,26172.070088600383,36145.1259445182,74604.72797647855
2015-10-28 02:00:00,21430.098775711413,24847.201941671916,228009.5788648707,27319.023719072084,37178.096208670424,75506.19775944311
2015-10-28 03:00:00,18443.77009362446,23177.580687984173,231616.65174620706,27963.646438998287,37265.191672885274,75274.531340173
2015-10-28 04:00:00,16478.277889346813,22062.16473653302,237764.6073844886,29039.70002490795,38858.55401144571,76190.43324537885
2015-10-28 05:00:00,16746.732523946517,23328.474967050253,254517.39131673492,31151.95943581582,41630.183157026484,80152.73385787729
2015-10-28 06:00:00,17673.808437717853,25065.124885034333,258155.60372178094,30622.69468597184,47568.73098358544,84359.1546674844
2015-10-28 07:00:00,17812.300861622025,25236.414168840845,217955.46017791913,25569.406513144735,37089.341177683054,96210.77633504788
2015-10-28 08:00:00,17844.495835165246,24897.941353749655,261228.50363911924,29938.508715211072,42233.92701928787,96380.88304879934
2015-10-28 09:00:00,18086.997747614587,23981.87921053704,279251.6246454709,33933.86730213086,48068.31082886048,89643.38032628201
2015-10-28 10:00:00,18485.842223184616,23396.77187532919,267142.7535097342,36498.128552956034,52327.84921219817,77519.00830345122
2015-10-28 11:00:00,18766.03503590788,23159.767709853826,254226.56270125488,35821.907536871964,49687.725726204524,81413.41097477532
2015-10-28 12:00:00,16517.871163321164,23318.655531566943,246131.14977888277,32044.93465632517,42698.484027713996,87917.65036781284
2015-10-28 13:00:00,17659.707968627914,23338.212461413816,232512.73644086553,29078.06292691425,36771.20735533007,88085.33414745166
2015-10-28 14:00:00,17943.700006734445,24136.845822434956,169306.59179619292,22185.176774602933,26105.0464583829,85299.46247337956
2015-10-28 15:00:00,16950.63791449399,24780.62788489249,162060.28588511978,24368.119246515154,22447.70541734016,77597.67130572963
2015-10-28 16:00:00,18368.624100477125,26143.24409342381,220718.9741766936,34833.52745191566,29772.58480371223,81750.54170276689
2015-10-28 17:00:00,19643.236433098828,27547.998339429443,240786.1132851539,36991.56824533631,38985.39955048025,101251.46475950484
2015-10-28 18:00:00,17859.33502859269,25462.96028319796,247823.2490674969,35585.37013553043,40264.51991642485,94733.90428806815
