,electricity
117,0.9820027951079358
118,0.9819207032353385
119,0.9804470133406867
120,0.9795914887903641
121,0.9782771251296006
122,0.9742080442405574
123,0.9655319907363542
124,0.9605695509364925
125,0.9554318149963996
126,0.9491875883792964
127,0.95022806387864
128,0.9575095541526232
129,0.9652286963261181
130,0.965456432908438
131,0.9578350206691072
132,0.9413888070453571
133,0.9314477196034273
134,0.9415146661853577
135,0.9503634845327412
136,0.9504985619683053
137,0.9429446104551391
138,0.9264812778136592
139,0.8924606666655305
140,0.8397288503256242
141,0.7806670562481386
142,0.7344114246391548
143,0.7054016053023598
144,0.6794283777783102
145,0.6351164045990572
146,0.5695222312008812
147,0.47989122347465807
148,0.3609346131970863
149,0.25791068081369667
150,0.2353927422974083
151,0.26762422519572604
152,0.323691370744053
153,0.4361985828799551
154,0.5517947818383753
155,0.6506346449350948
156,0.7325712625942239
157,0.7835525674571424
158,0.7934525120298879
159,0.7662406090774555
160,0.7129171667386098
161,0.6489895955359403
162,0.6397651676861039
163,0.6739888851030278
164,0.7473806504017052
165,0.835624643294512
166,0.9071141915826281
167,0.9497376985057748
168,0.9649993607730005
169,0.9707864073925629
170,0.9694866345473454
171,0.9629439548605291
172,0.9601774197851013
173,0.9617649255650871
174,0.9629235940049347
175,0.9589550840023369
176,0.9485480689876684
177,0.9326690953349511
178,0.913147618519039
179,0.8986777802013873
180,0.8926728356168797
181,0.8920352984258658
182,0.8936759588338666
183,0.895555506347171
184,0.8994336135146973
185,0.8992828216801169
186,0.8940435861290387
187,0.884366488958291
188,0.8809477037404192
189,0.8824390283777299
190,0.884366488958291
191,0.8867121409812866
192,0.8873751983169051
193,0.8856558306283315
194,0.8866567435902034
195,0.880080437019994
196,0.8644239805727371
197,0.8423983598142714
198,0.8186714594910683
199,0.8003332575044786
200,0.7899524931628206
201,0.783911480846
202,0.7738978875520255
203,0.7633032764629931
204,0.7503410821279743
205,0.72824891479361
206,0.7021488015203401
207,0.6949266518230542
208,0.7169528157177169
209,0.7626367961359877
210,0.8065560408388822
211,0.836952258049131
212,0.849030186294925
213,0.847007109064903
214,0.8347351352587306
215,0.8142637688704278
216,0.7981144827718286
217,0.7840011474864288
218,0.7710223100813703
219,0.762350800156732
220,0.7560042025331821
221,0.7371577659098135
222,0.7152574249460436
223,0.7094944886538012
224,0.7255532264101952
225,0.7637786102392197
226,0.8183534411326663
227,0.8652526615755542
228,0.8858788720304439
229,0.8920885446462057
230,0.8933600172209972
231,0.8974586731914169
232,0.903822570916478
233,0.9085619635193201
234,0.9226240311668773
235,0.9518568839647201
236,0.9787023248448239
237,0.9814283665095792
238,0.9732610164945708
239,0.9715345792363369
240,0.9790115498270151
241,0.9832157155904915
242,0.9770346265085732
243,0.9544191527469219
244,0.9126578332448758
245,0.858973398605508
246,0.7905678621838501
247,0.7013870977017935
248,0.6039260360377487
249,0.5128787357820216
250,0.4709991634776176
251,0.4654616620617315
252,0.4561998289922221
253,0.4688094704883275
254,0.5608046400186599
255,0.747578671639368
256,0.9059801568948519
257,0.9674527330154393
258,0.9827702388440995
259,0.9782045268257453
260,0.9600021633655554
261,0.948302689460421
262,0.9617116215291851
263,0.9795435957265771
264,0.9831069805091258
265,0.9823054905584869
266,0.9831450214806674
267,0.9828206657379418
268,0.9806429425528517
269,0.9803790982320661
270,0.9824822112166846
271,0.9832138567086054
272,0.981185635881421
273,0.9747435536772184
274,0.9660373906841916
275,0.9550145656115415
276,0.9437084120894408
277,0.9355360821214324
278,0.9329891740591625
279,0.936116735607319
280,0.9402450517947919
281,0.9411363562211504
282,0.9342560969995619
283,0.9201771332844012
284,0.9017716736113321
285,0.8836325515025002
286,0.8732017051812122
287,0.8762041861094579
288,0.8935707304060224
289,0.905790027129869
290,0.9051698796561571
291,0.8970496210097346
292,0.8835759394565788
293,0.8653797991192859
